scene_index,baseline_overlap_iou_sum,baseline_sg_consistency,baseline_active_objects,s0075_d025_i050_overlap_delta,s0075_d025_i050_consistency_drop,s0075_d025_i050_movement_mean,s0075_d025_i050_movement_max,s0075_d035_i050_overlap_delta,s0075_d035_i050_consistency_drop,s0075_d035_i050_movement_mean,s0075_d035_i050_movement_max,s0025_d015_i025_overlap_delta,s0025_d015_i025_consistency_drop,s0025_d015_i025_movement_mean,s0025_d015_i025_movement_max,s0025_d025_i050_overlap_delta,s0025_d025_i050_consistency_drop,s0025_d025_i050_movement_mean,s0025_d025_i050_movement_max,s0050_d025_i050_overlap_delta,s0050_d025_i050_consistency_drop,s0050_d025_i050_movement_mean,s0050_d025_i050_movement_max,s0075_d015_i050_overlap_delta,s0075_d015_i050_consistency_drop,s0075_d015_i050_movement_mean,s0075_d015_i050_movement_max,s0075_d025_i025_overlap_delta,s0075_d025_i025_consistency_drop,s0075_d025_i025_movement_mean,s0075_d025_i025_movement_max,s0075_d025_i075_overlap_delta,s0075_d025_i075_consistency_drop,s0075_d025_i075_movement_mean,s0075_d025_i075_movement_max
38,0.04718019715657829,1.0,6,-0.01618021489360811,0.0,0.03749999999999998,0.14999999999999994,-0.01618021489360811,0.0,0.03749999999999998,0.14999999999999994,-0.02146307626460215,0.0,0.03750000000000001,0.1250000000000001,-0.021463076264602168,0.0,0.0375,0.2,-0.021463076264602168,0.0,0.041666666666666664,0.2,-0.016180214893608102,0.0,0.025000000000000005,0.07500000000000001,-0.01618021489360811,0.0,0.037500000000000006,0.15000000000000002,-0.01618021489360811,0.0,0.037500000000000006,0.15000000000000002
39,0.001792865765814221,1.0,3,-0.001792865765814221,0.0,0.02500000000000001,0.07500000000000002,-0.001792865765814221,0.0,0.02500000000000001,0.07500000000000002,-0.001792865765814221,0.0,0.02500000000000006,0.07500000000000018,-0.001792865765814221,0.0,0.024999999999999998,0.075,-0.001792865765814221,0.0,0.03333333333333333,0.09999999999999999,-0.001792865765814221,0.0,0.024999999999999994,0.07499999999999998,-0.001792865765814221,0.0,0.024999999999999994,0.07499999999999998,-0.001792865765814221,0.0,0.024999999999999994,0.07499999999999998
40,0.7781713806312347,1.0,6,-0.18233258474550396,0.0,0.08111456184261075,0.20457742706317952,-0.18233258474550396,0.0,0.08111456184261075,0.20457742706317952,-0.22139121166610565,0.0,0.0864358058550118,0.14055774341793506,-0.22158908144488432,0.0,0.08904462606985025,0.16158487060507415,-0.23405567387351345,0.0,0.09895174102955578,0.22792288163537577,-0.1635382675277699,0.0,0.06944936761139836,0.1345862616759054,-0.18233258474550396,0.0,0.08111456184261073,0.2045774270631796,-0.18233258474550396,0.0,0.08111456184261073,0.2045774270631796
41,0.06935028766045948,1.0,5,-0.04925618602647358,0.0,0.1341611676362756,0.2249685750488197,-0.04965309867806006,0.0,0.16228038415663656,0.2992426666361189,-0.03835987488839962,0.0,0.08968901769259865,0.14998508350095127,-0.04944457485714677,0.0,0.14653848617614496,0.24997607681390638,-0.04945787597934505,0.0,0.14718865169388845,0.24998390498126954,-0.036643442641117505,0.0,0.08885194388257436,0.1499743954023684,-0.04925618602647358,0.0,0.1341611676362756,0.22496857504881998,-0.04925618602647358,0.0,0.1341611676362756,0.22496857504881998
42,0.07578318172822071,1.0,5,-0.004241962568254876,0.0,0.02999999999999999,0.075,-0.004241962568254876,0.0,0.02999999999999999,0.075,-0.004241962568254876,0.0,0.019999631615660762,0.05,-0.004241962568254876,0.0,0.019999631615660787,0.05,-0.004241962568254876,0.0,0.02,0.05,-0.004241962568254876,0.0,0.03,0.075,-0.004241962568254876,0.0,0.03,0.075,-0.004241962568254876,0.0,0.03,0.075
43,0.3217303755072992,1.0,6,-0.0014070294237850667,0.0,0.01250000000000001,0.07500000000000005,-0.0014070294237850667,0.0,0.01250000000000001,0.07500000000000005,-0.0014070294237850667,0.0,0.012499999999999985,0.07499999999999991,-0.0014070294237850667,0.0,0.012500000000000002,0.07500000000000001,-0.0014070294237850667,0.0,0.016666666666666666,0.1,-0.0014070294237850667,0.0,0.012499999999999999,0.075,-0.0014070294237850667,0.0,0.012499999999999999,0.075,-0.0014070294237850667,0.0,0.012499999999999999,0.075
44,0.12178115480025294,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.11738248147506826,0.8,5,-0.02196767287716847,0.0,0.12000000000000006,0.22500000000000026,-0.022559154968423062,0.0,0.15000000000000008,0.3000000000000003,-0.0068087913468204975,0.0,0.039999999999999994,0.1249999999999999,-0.007159241689222703,0.0,0.05,0.25,-0.007159241689222703,0.0,0.05,0.25,-0.012074580198117787,0.0,0.075,0.15,-0.02196767287716847,0.0,0.12,0.225,-0.02196767287716847,0.0,0.12,0.225
46,0.1402915735348095,1.0,3,-0.01922117543217096,0.0,0.13725189242097732,0.22499999999999987,-0.020104611143874795,0.0,0.18553413938319138,0.3316024181495742,-0.015562181683350176,0.0,0.08333333333333341,0.12500000000000025,-0.020104611143874795,0.0,0.16364101887765548,0.25,-0.020104611143874795,0.0,0.15683779318201344,0.24999999999999997,-0.01744654383983127,0.0,0.09999999999999999,0.15,-0.01922117543217096,0.0,0.13725189242097738,0.225,-0.01922117543217096,0.0,0.13725189242097738,0.225
47,0.07653412663278224,0.8888888888888888,5,-0.042097453638048635,0.0,0.13918259781933512,0.24600070845476285,-0.045295388706284336,0.0,0.16912551406103138,0.29995883107926524,-0.031639699889311756,0.0,0.08980393664339173,0.14996922127835852,-0.04370781804894064,0.0,0.14922608201898332,0.24993267071703393,-0.04226794598032654,0.0,0.14338821952144723,0.24994607620128093,-0.030247376869044496,0.0,0.0895692202761317,0.1499677451502485,-0.042097453638048635,0.0,0.13918259781933504,0.24600070845476285,-0.042097453638048635,0.0,0.13918259781933504,0.24600070845476285
