scene_id,layout_variant,source_config_id,n_objects,changed_objects,total_xz_movement,max_xz_movement,budget_total,budget_max
bedroom:12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,generic_relation_optimizer,eg06_generic_budget_matched,5,0,0.0,0.0,0.0,0.0
bedroom:12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,4,1,1.299653848954973,1.299653848954973,1.299653848954973,1.299653848954973
bedroom:12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,random_movement_matched_seed0,eg06_random_seed0,4,1,1.299653848954973,1.299653848954973,1.299653848954973,1.299653848954973
bedroom:12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,random_movement_matched_seed1,eg06_random_seed1,4,1,1.299653848954973,1.299653848954973,1.299653848954973,1.299653848954973
bedroom:12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,random_movement_matched_seed2,eg06_random_seed2,4,1,1.299653848954973,1.299653848954973,1.299653848954973,1.299653848954973
bedroom:12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,generic_relation_optimizer,eg06_generic_budget_matched,4,0,0.0,0.0,1.299653848954973,1.299653848954973
bedroom:13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,6,1,0.3650767256015114,0.3650767256015114,0.3650767256015114,0.3650767256015114
bedroom:13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787,random_movement_matched_seed0,eg06_random_seed0,6,1,0.3650767256015114,0.3650767256015114,0.3650767256015114,0.3650767256015114
bedroom:13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787,random_movement_matched_seed1,eg06_random_seed1,6,1,0.36507672560151133,0.36507672560151133,0.3650767256015114,0.3650767256015114
bedroom:13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787,random_movement_matched_seed2,eg06_random_seed2,6,1,0.3650767256015115,0.3650767256015115,0.3650767256015114,0.3650767256015114
bedroom:13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787,generic_relation_optimizer,eg06_generic_budget_matched,6,0,0.0,0.0,0.3650767256015114,0.3650767256015114
bedroom:14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,7,0,0.0,0.0,0.0,0.0
bedroom:14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322,random_movement_matched_seed0,eg06_random_seed0,7,0,0.0,0.0,0.0,0.0
bedroom:14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322,random_movement_matched_seed1,eg06_random_seed1,7,0,0.0,0.0,0.0,0.0
bedroom:14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322,random_movement_matched_seed2,eg06_random_seed2,7,0,0.0,0.0,0.0,0.0
bedroom:14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322,generic_relation_optimizer,eg06_generic_budget_matched,7,0,0.0,0.0,0.0,0.0
bedroom:15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,4,0,0.0,0.0,0.0,0.0
bedroom:15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,random_movement_matched_seed0,eg06_random_seed0,4,0,0.0,0.0,0.0,0.0
bedroom:15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,random_movement_matched_seed1,eg06_random_seed1,4,0,0.0,0.0,0.0,0.0
bedroom:15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,random_movement_matched_seed2,eg06_random_seed2,4,0,0.0,0.0,0.0,0.0
bedroom:15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,generic_relation_optimizer,eg06_generic_budget_matched,4,0,0.0,0.0,0.0,0.0
bedroom:15de4a4c-2258-4015-9cc3-f2ebbb9d61e5_SecondBedroom-35821,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,0,0.0,0.0,0.0,0.0
bedroom:15de4a4c-2258-4015-9cc3-f2ebbb9d61e5_SecondBedroom-35821,random_movement_matched_seed0,eg06_random_seed0,5,0,0.0,0.0,0.0,0.0
bedroom:15de4a4c-2258-4015-9cc3-f2ebbb9d61e5_SecondBedroom-35821,random_movement_matched_seed1,eg06_random_seed1,5,0,0.0,0.0,0.0,0.0
bedroom:15de4a4c-2258-4015-9cc3-f2ebbb9d61e5_SecondBedroom-35821,random_movement_matched_seed2,eg06_random_seed2,5,0,0.0,0.0,0.0,0.0
bedroom:15de4a4c-2258-4015-9cc3-f2ebbb9d61e5_SecondBedroom-35821,generic_relation_optimizer,eg06_generic_budget_matched,5,0,0.0,0.0,0.0,0.0
bedroom:185d02b3-ca3f-40a9-a981-71ecb7944538_Bedroom-18055,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,7,0,0.0,0.0,0.0,0.0
bedroom:185d02b3-ca3f-40a9-a981-71ecb7944538_Bedroom-18055,random_movement_matched_seed0,eg06_random_seed0,7,0,0.0,0.0,0.0,0.0
bedroom:185d02b3-ca3f-40a9-a981-71ecb7944538_Bedroom-18055,random_movement_matched_seed1,eg06_random_seed1,7,0,0.0,0.0,0.0,0.0
bedroom:185d02b3-ca3f-40a9-a981-71ecb7944538_Bedroom-18055,random_movement_matched_seed2,eg06_random_seed2,7,0,0.0,0.0,0.0,0.0
bedroom:185d02b3-ca3f-40a9-a981-71ecb7944538_Bedroom-18055,generic_relation_optimizer,eg06_generic_budget_matched,7,0,0.0,0.0,0.0,0.0
bedroom:189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,0,0.0,0.0,0.0,0.0
bedroom:189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,random_movement_matched_seed0,eg06_random_seed0,5,0,0.0,0.0,0.0,0.0
bedroom:189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,random_movement_matched_seed1,eg06_random_seed1,5,0,0.0,0.0,0.0,0.0
bedroom:189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,random_movement_matched_seed2,eg06_random_seed2,5,0,0.0,0.0,0.0,0.0
bedroom:189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,generic_relation_optimizer,eg06_generic_budget_matched,5,0,0.0,0.0,0.0,0.0
bedroom:198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,0,0.0,0.0,0.0,0.0
