room,variant,relation,n,baseline_acc,repair_acc,gain
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,7,36,0.4722222222222222,0.5277777777777778,0.05555555555555558
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,8,19,0.631578947368421,0.7894736842105263,0.1578947368421053
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,9,13,0.9230769230769231,0.9230769230769231,0.0
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,0,1,1.0,1.0,0.0
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,1,42,0.4523809523809524,0.6666666666666666,0.21428571428571425
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,2,50,0.64,0.7,0.05999999999999994
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,3,20,0.8,0.9,0.09999999999999998
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,4,21,0.7142857142857143,0.8095238095238095,0.09523809523809523
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,6,53,0.4339622641509434,0.6037735849056604,0.16981132075471694
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,7,36,0.4722222222222222,0.5555555555555556,0.08333333333333337
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,8,19,0.631578947368421,0.8421052631578947,0.21052631578947367
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,9,13,0.9230769230769231,1.0,0.07692307692307687
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,0,1,1.0,1.0,0.0
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,1,42,0.4523809523809524,0.6904761904761905,0.23809523809523808
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,2,50,0.64,0.68,0.040000000000000036
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,3,20,0.8,0.85,0.04999999999999993
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,4,21,0.7142857142857143,0.9047619047619048,0.19047619047619047
